"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,";"";8;"";;;
2;"SJ4,SJ3,SJ2,SJ1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";4;"SolderJumper";;;
3;"C14,C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"10uf";;;
4;"SW1";"SW_Push_SPST_NO_Alps_SKRK";1;"SW_Push";;;
5;"U3,U2";"TPD2E2U06DCKR";2;" ";;;
6;"H5,H4,H3,H2,H1";"MountingHole_2.2mm_M2";5;"MountingHole";;;
7;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"16MHz";;;
8;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4RC-AU";;;
9;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"470";;;
10;"R4,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"10k";;;
11;"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"22";;;
12;"MX32,MX31,MX30,MX29,MX28,MX27,MX26,MX25,MX24,MX23,MX22,MX21,MX20,MX19,MX18,MX17,MX16,MX15,MX14,MX13,MX12,MX11,MX10,MX9,MX8,MX7,MX6,MX5,MX4,MX3,MX2,MX1";"Kailh_socket_MX";32;"MX-NoLED";;;
13;"SPLIT1";"PinHeader_1x04_P2.54mm_Horizontal";1;"SPLIT";;;
14;"LED_OPT1";"PinHeader_1x03_P2.54mm_Horizontal";1;"LED";;;
15;"USB1";"PinHeader_1x04_P2.54mm_Horizontal";1;"USB";;;
16;"F1";"Fuse_0805_2012Metric_Castellated";1;"500ma";;;
17;"D36,D35,D34,D33";"LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm";4;"SK6805";;;
18;"D32,D27,D19,D31,D26,D18,D12,D6,D30,D25,D17,D11,D5,D29,D24,D16,D10,D4,D23,D15,D9,D3,D28,D22,D14,D8,D2,D21,D13,D7,D1,D20";"D_SOD-123";32;"D";;;
19;"C13,C12,C11,C10,C6,C5,C4,C3,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";9;"0.1uf";;;
20;"C9";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"1uf";;;
21;"C8,C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"22pf";;;
